Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Barbados,distribution losses ,Central & South America,0.05,0.062,0.055,0.089,0.055,0.055,0.058,0.036,0.038,0.039,0.044,0.039,0.032,0.044,0.044,0.05,0.047,0.051,0.057,0.056,0.055,0.061,0.057,0.058,0.06,0.062,0.063,0.065,0.043,0.045,0.051,0.068,0.043,0.043,0.048,0.02,0.021,0.021,0.02,0.06589,0.066,0.064817344
Belarus,distribution losses ,Eurasia,,,,,,,,,,,,,3.125,4.047,3.837,3.636,3.757,3.801,3.796,3.544,3.41,3.455,3.406,3.45,3.578,3.634,3.841,3.724,3.714,3.487,3.774,3.412,3.406,3.342,3.187,2.916,2.876,2.872,2.835,2.711,2.736,2.734984716
Belgium,distribution losses ,Europe,2.757,2.634,2.676,2.678,2.876,3.029,3.065,3.242,3.249,3.325,3.604,3.505,3.537,3.673,3.57,3.673,3.834,3.691,3.839,4.126,3.789,3.886,3.772,3.757,3.751,3.856,3.965,3.972,4.021,3.937,4.149,3.964,4.114,3.957,3.785,3.816,3.881,3.8493,3.7817,3.5902,3.4549,3.5741
Belize,distribution losses ,Central & South America,0.00637,0.00644,0.00651,0.00665,0.00721,0.00749,0.0077,0.00805,0.00875,0.00903,0.00994,0.01106,0.01204,0.01316,0.01225,0.01274,0.01302,0.014,0.013454,0.014084,0.031,0.037,0.036,0.04,0.048,0.054,0.058,0.057,0.057,0.055441111,0.057041111,0.038157308,0.041633633,0.049770892,0.06504,0.06859,0.06805,0.0636,0.06511,0.06887,0.06887,0.06887
Benin,distribution losses ,Africa,0.021,0.026,0.016,0.032,0.028,0.03,0.03,0.039,0.044,0.04,0.043,0.049,0.032,0.043,0.038,0.042,0.04,0.042,0.044,0.053,0.059,0.087,0.098,0.107,0.114,0.113,0.126,0.125,0.14,0.208,0.207,0.204,0.212,0.229,0.232,0.277,0.288,0.297,0.295489,0.363,0.346,0.361714286
Bermuda,distribution losses ,North America,0.02177,0.0224,0.02317,0.02415,0.02506,0.0259,0.02709,0.02863,0.03017,0.03066,0.03227,0.03374,0.03402,0.03409,0.03465,0.0343,0.03458,0.03486,0.0357,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0447,0.0375,0.041,0.041,0.041
Bhutan,distribution losses ,Asia & Oceania,0.00112,0.0014,0.00154,0.00154,0.0014,0.00077,0.02128,0.0819,0.10724,0.10731,0.10836,0.10927,0.11235,0.11235,0.11613,0.12012,0.12971,0.12747,0.12488,0.12481,0.015,0.06806,0.0926,0.1227,0.1302,0.1172,0.12105,0.15069,0.01175,0.01486,0.01919,0.02314,0.08417,0.08277,0.08063,0.06673,0.2657,0.05796,0.1845,0.52606,0.52606,0.52606
Bolivia,distribution losses ,Central & South America,0.144,0.158,0.134,0.166,0.157,0.183,0.237,0.216,0.255,0.285,0.315,0.319,0.347,0.378,0.355,0.349,0.372,0.403,0.445,0.443,0.395,0.484,0.57,0.581,0.603,0.5,0.541,0.59,0.686,0.718,0.783,0.796,0.756,0.714,0.755,0.814,0.8,0.854611,0.883084,0.89493,0.882689,0.907095357
Bosnia and Herzegovina,distribution losses ,Europe,,,,,,,,,,,,,1.08,0.663,0.808,0.843,1.565,1.801,1.522,1.577,1.749,1.781,1.806,1.93,2.043,2.227,2.222,2.218,1.966,1.875,1.602,1.549,1.496,1.448,1.322,1.394,1.358,1.347,1.349,1.257,1.23,1.159142857
Botswana,distribution losses ,Africa,0.03101,0.03514,0.03423,0.03038,0.03115,0.03192,0.03766,0.05922,0.056,0.05579,0.05964,0.06153,0.07616,0.07189,0.07308,0.07329,0.05313,0.0609,0.144,0.144,0.164,0.11,0.117,0.19,0.171,0.214,0.29,0.343,0.327,0.381,0.333,0.434,0.393,0.34,0.255,0.529,0.564,0.579,0.509,0.631,0.667,0.667
Brazil,distribution losses ,Central & South America,16.464,15.697,18.144,18.336,19.302,22.031,25.351,27.379,28.992,31.463,31.701,36.074,35.273,38.356,42.015,46.148,50.117,53.877,54.317,58.965,63.571,56.539,57.88,60.221,65.273,66.88,70.55,71.851,77.081,80.112,85.748,87.524,94.367,94.995,93.174,93.076,98.317,97.6189,97.973,105.647,105.727,108.403
British Virgin Islands,distribution losses ,Central & South America,0.00154,0.00168,0.00175,0.00168,0.00189,0.00203,0.00231,0.00259,0.0028,0.00287,0.00294,0.00294,0.00294,0.00294,0.00294,0.00294,0.00294,0.00294,0.00294,0.00294,0.01,0.01,0.011,0.011,0.011,0.0055,0.0052,0.0136,0.0178,0.019,0.017,0.0207,0.0204,0.0182,0.0115,0.0225,0.022,0.019,0.02,0.021,0.023,0.023
Brunei,distribution losses ,Asia & Oceania,0.015,0.02,0.024,0.029,0.032,0.033,0.034,0.046,0.049,0.051,0.053,0.078,0.087,0.064,0.048,0.069,0.043,0.029,0.029,0.028,0.029,0.307,0.34,0.392,0.122,0.174,0.176,0.165,0.164,0.218,0.368,0.267,0.243,0.409,0.289,0.269,0.243,0.481,0.481,0.497,0.439,0.439
Bulgaria,distribution losses ,Europe,3.454,3.695,3.888,4.046,4.301,4.016,4.17,4.413,4.794,4.659,4.443,5.339,6.413,5.847,5.761,6.23,5.885,6.253,5.595,6.623,6.29,6.135,6.181,6.026,5.092,4.883,4.907,4.692,4.669,4.512,4.48,4.396,4.231,3.895,4.013,3.785,3.577,3.476,3.101884,2.767,2.595,2.429857143
Burkina Faso,distribution losses ,Africa,0.00686,0.00756,0.00805,0.00819,0.00791,0.00805,0.00854,0.00931,0.01001,0.01071,0.01218,0.01274,0.0133,0.01435,0.01442,0.01624,0.01841,0.01974,0.02184,0.02436,0.049,0.064,0.057,0.069,0.0764,0.082,0.0849,0.103,0.095,0.102,0.1031,0.1148,0.1354,0.1578,0.1745,0.1832,0.1832,0.2235,0.219,0.1614,0.18,0.18
Burma,distribution losses ,Asia & Oceania,0.325,0.33,0.4,0.483,0.577,0.524,0.619,0.655,0.723,0.856,0.655,0.965,1.121,1.212,1.252,1.545,1.383,1.542,1.18,1.494,1.602,1.46,1.584,1.576,1.699,2.352,1.809,1.96,1.921,1.971,2.313,2.708,2.71,2.635,2.901,2.573,2.385,2.88227,2.960066,3.4048,3.579527,3.705993214
Burundi,distribution losses ,Africa,0.00021,0.00028,0.00028,0.00175,0.00287,0.00329,0.00434,0.00665,0.00728,0.00721,0.00763,0.00784,0.00742,0.0077,0.00812,0.00833,0.00826,0.00847,0.00777,0.00693,0.0,0.025,0.03,0.029,0.027,0.028,0.025,0.03,0.032,0.034,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.040009672
Cabo Verde,distribution losses ,Africa,0.00105,0.00105,0.00147,0.00154,0.00182,0.00189,0.00196,0.00217,0.00231,0.00231,0.00273,0.0035,0.00399,0.00462,0.00525,0.00546,0.00581,0.00616,0.00672,0.0077,0.0208,0.03728,0.03074,0.035624,0.040585,0.040883,0.054069,0.06776,0.07656,0.07706,0.08443,0.08903,0.09726,0.10214,0.10277,0.1044,0.1178,0.1305,0.1261,0.1272,0.13,0.135423643
Cambodia,distribution losses ,Asia & Oceania,0.00672,0.00721,0.00749,0.00707,0.00672,0.00742,0.00805,0.00875,0.00945,0.01001,0.01071,0.01106,0.01162,0.01204,0.01253,0.079,0.054,0.073,0.083,0.113,0.085,0.124,0.096,0.092,0.17,0.107,0.142,0.216,0.164,0.178,0.286,0.296,0.262,0.499,0.717,0.81,0.936,1.332,1.09,1.36,1.309,1.392357143
Cameroon,distribution losses ,Africa,0.107,0.146,0.121,0.144,0.219,0.188,0.311,0.28,0.3,0.304,0.352,0.376,0.377,0.375,0.507,0.608,0.587,0.612,0.629,0.695,0.761,0.909,0.763,0.877,0.79,0.698,0.629,0.49,0.538,0.54,0.58,1.091,1.602,1.879,2.114,1.663,1.693,1.79,1.805,1.864,1.981,1.981
Canada,distribution losses ,North America,32.237,28.074,30.009,30.458,30.699,34.717,33.574,34.563,39.013,41.123,34.11,36.454,36.734,36.672,36.599,39.657,43.641,39.936,38.801,43.115,47.271,44.365,49.353,38.315,37.72,22.132,23.225,21.165,23.502,26.326,25.902,26.647,26.011,26.03,29.295,33.263,32.537,35.407,33.525,33.548,32.891,33.037227
Cayman Islands,distribution losses ,Central & South America,0.00406,0.00462,0.00546,0.00623,0.00728,0.00819,0.00903,0.01057,0.01169,0.01281,0.01484,0.0154,0.01547,0.01659,0.01876,0.01953,0.01967,0.01974,0.01988,0.0217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.049,0.053,0.053,0.039,0.04,0.037,0.038,0.04,0.029,0.029,0.029,0.029,0.029
Central African Republic,distribution losses ,Africa,0.00469,0.00462,0.0049,0.00476,0.00504,0.00539,0.00651,0.00637,0.00644,0.00644,0.00651,0.00644,0.00658,0.00665,0.00693,0.007,0.00714,0.00728,0.00714,0.00721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Chad,distribution losses ,Africa,0.00308,0.00336,0.00343,0.00336,0.00343,0.00357,0.00455,0.00553,0.00532,0.00539,0.00595,0.00574,0.00553,0.00567,0.0056,0.00588,0.00595,0.00595,0.00602,0.00602,0.00665,0.007,0.00749,0.00805,0.00854,0.00903,0.0091,0.00903,0.0105,0.01464,0.016,0.01744,0.03525,0.04035,0.0429,0.0435,0.0441,0.04485,0.04545,0.0462,0.0462,0.04885
Chile,distribution losses ,Central & South America,1.442,1.333,1.45,1.83,1.819,1.928,1.948,2.306,2.506,2.026,1.944,2.229,2.372,2.88,2.77,2.927,2.688,2.519,2.903,2.105,2.924,3.131,2.698,2.849,4.034,4.54,4.904,4.935,5.081,6.404,4.967,4.687001,3.498998,4.889999,4.363999,3.707,2.872999,4.175212,3.5114358,3.570323,3.28122,3.31627
China,distribution losses ,Asia & Oceania,24.29,25.5,26.23,27.46,29.36,40.43,43.22,48.54,52.84,58.34,42.844,48.762,54.618,60.981,59.613,74.46,76.957,78.768,79.183,86.21,93.826,103.294,116.838,126.068,142.06,170.647,185.883,206.171,213.788,225.822,256.824,270.07,289.616,314.071,309.988,298.786,306.293,319.583,335.171,333.01,323.348,328.1611713
Colombia,distribution losses ,Central & South America,3.303,3.337,3.653,3.837,4.165,4.208,4.687,7.078,7.571,7.524,7.705,7.792,6.487,8.234,9.138,9.561,9.743,10.183,10.61,10.547,9.654,8.414,8.737,9.071,9.704,9.819,10.455,11.148,10.798,8.407,9.137,7.43,7.718,5.262,5.85,7.118001,7.000001,5.560272,8.155142,5.724068,6.160202,5.169515
