Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Saint Lucia,distribution losses ,Central & South America,0.00378,0.00406,0.00399,0.00448,0.00448,0.00476,0.0049,0.00525,0.00679,0.00679,0.00686,0.00693,0.01001028,0.01121442,0.01188866,0.0129346,0.01303057,0.01402506,0.01552096,0.01685761,0.0306,0.0306,0.0344,0.0351,0.0301,0.033,0.0333,0.0347,0.0361,0.0336,0.036,0.037234,0.036948,0.033791,0.033574,0.030013,0.029432,0.02745,0.025317,0.026658,0.026658,0.026658
Saint Pierre and Miquelon,distribution losses ,North America,0.00112,0.0014,0.00168,0.00168,0.0021,0.00231,0.00245,0.00252,0.00266,0.00294,0.0028,0.00294,0.00294,0.0028,0.00287,0.00273,0.00273,0.00273,0.0028,0.0028,0.004,0.003479,0.00272,0.00271,0.00216,0.00205,0.00207,0.00139,0.00102,0.0021,0.00213,0.001,0.00086,0.00088,0.0001,0.00226,0.00173,0.00076,0.00137,0.0008,0.0008,0.001284667
Saint Vincent/Grenadines,distribution losses ,Central & South America,0.00182,0.00189,0.0021,0.0021,0.00238,0.00266,0.0028,0.00301,0.00329,0.00336,0.00343,0.00357,0.00385,0.0042,0.00427,0.00483,0.00511,0.00532,0.00567,0.00567,0.0116,0.0103,0.0104,0.0098,0.0104,0.0111,0.0105,0.010431,0.011201,0.010742,0.009798,0.010119,0.009209,0.009559,0.009769,0.009336,0.010561,0.009021,0.011083,0.0098,0.0098,0.010061933
Samoa,distribution losses ,Asia & Oceania,0.00259,0.00259,0.00294,0.00266,0.00273,0.0028,0.00301,0.00308,0.00308,0.00336,0.00336,0.00336,0.00406,0.00406,0.00434,0.00462,0.00518,0.00539,0.00616,0.00665,0.006,0.0061,0.0085,0.0075,0.0119,0.0136,0.0174,0.0178,0.0141,0.0152,0.0151,0.0161,0.0154,0.015,0.014,0.0145,0.015,0.015,0.01495,0.0173,0.0157,0.015503333
Sao Tome and Principe,distribution losses ,Africa,0.00063,0.00063,0.00077,0.00077,0.00105,0.00105,0.00098,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00126,0.00133,0.0014,0.00147,0.00154,0.00182,0.0078,0.0079,0.0095,0.0101,0.0118,0.0129,0.013,0.013,0.0135,0.0145,0.0153,0.0156,0.016,0.016,0.0146,0.0121,0.0117,0.012,0.0118,0.0119,0.0119,0.011882903
Saudi Arabia,distribution losses ,Middle East,1.349,3.77,3.733,3.204,2.162,4.03,0.745,3.261,4.969,4.435,3.985,4.874,6.19,6.751,5.856,5.957,6.563,8.025,6.38,5.669,9.131,7.575,9.828,7.002,12.927,18.579,13.798,15.69,17.712,17.965,21.388,23.508,23.78,20.017,21.144,25.275,26.186,32.423,33.105,31.055,35.779,37.34907143
Senegal,distribution losses ,Africa,0.101,0.105,0.107,0.106,0.117,0.129,0.123,0.154,0.15,0.186,0.165,0.173,0.178,0.178,0.139,0.182,0.222,0.218,0.212,0.266,0.599,0.642,0.529,0.804,0.747,0.767,0.623,0.505,0.85,0.485,0.504,0.495,0.562,0.593,0.599,0.631,0.67,0.671516,0.671849,0.672,0.672,0.672
Serbia,distribution losses ,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,5.725,5.763,5.903,5.971,6.024,5.844,5.609,5.501,5.163,5.169,4.808,4.806,4.532353,4.332,4.385,4.396593516
Seychelles,distribution losses ,Africa,0.00329,0.00357,0.00371,0.00392,0.00392,0.00434,0.00434,0.0049,0.00546,0.0056,0.00665,0.007,0.00721,0.0077,0.00826,0.00847,0.00875,0.00973,0.01043,0.01134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297,0.03,0.03,0.03,0.03
Sierra Leone,distribution losses ,Africa,0.01316,0.01484,0.01568,0.01596,0.01701,0.01155,0.01036,0.01029,0.01127,0.01463,0.01477,0.01512,0.01512,0.01533,0.01561,0.0063,0.00945,0.0063,0.00721,0.00476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.072,0.077,0.077,0.077
Singapore,distribution losses ,Asia & Oceania,0.337,0.381,0.415,0.483,0.522,0.487,0.544,0.564,0.593,0.828,0.906,1.205,0.756,0.686,0.782,0.853,0.928,0.974,1.019,0.976,1.152,1.987,2.274,1.946,2.168,1.194,1.062,1.182,1.061,1.327,2.279,1.168,0.859,1.103,1.004,0.889,0.984,0.652488,0.569419,0.570835,0.500511,0.566935392
Slovakia,distribution losses ,Europe,,,,,,,,,,,,,,1.52,1.64,1.744,1.607,2.119,2.082,1.83,1.756,1.326,1.108,1.939,1.318,1.687,1.399,1.444,1.003,0.782,0.856,0.515,1.274,0.76,0.667,1.363,1.332,1.263,1.235,1.699,1.589,1.879
Slovenia,distribution losses ,Europe,,,,,,,,,,,,,0.662,0.667,0.536,0.689,0.726,0.687,0.762,0.669,0.811,0.729,0.737,0.856,0.874,0.953,0.863,0.867,0.812,0.893,0.982,0.824,0.875,0.848,0.821,0.864,0.876,0.89329,0.879694,0.858347,0.848755,0.854165
Solomon Islands,distribution losses ,Asia & Oceania,0.0014,0.00168,0.00168,0.00168,0.00182,0.00189,0.00196,0.00196,0.00196,0.00196,0.0021,0.0021,0.0021,0.0021,0.0021,0.00231,0.00266,0.00294,0.00329,0.00364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.016,0.018,0.018,0.018925714
Somalia,distribution losses ,Africa,0.00791,0.00525,0.0056,0.007,0.00924,0.01456,0.01666,0.0168,0.01694,0.01701,0.01722,0.01743,0.01743,0.01764,0.01785,0.01792,0.01813,0.01813,0.0182,0.01827,0.0,0.011,0.011,0.014,0.014,0.024,0.03,0.031,0.03,0.032,0.032,0.033,0.03485,0.03685,0.03701,0.03718,0.0432,0.04698,0.01725,0.01625,0.01522,0.015316857
South Africa,distribution losses ,Africa,7.554,8.04,8.649,9.373,8.369,8.612,6.144,7.989,7.784,8.77,9.975,10.975,12.033,12.759,14.031,11.532,15.294,16.094,16.534,16.812,17.053,16.251,13.82,19.131,24.105,20.56,21.869,22.017,22.465,24.28,24.468,21.998,22.221,21.488,20.94,19.895,21.399,21.429,22.737,22.904,25.892,25.92239186
South Korea,distribution losses ,Asia & Oceania,2.408,2.576,2.7,3.324,3.291,3.322,2.898,3.007,3.54,4.756,3.633,2.734,2.53,8.192,7.472,8.85,10.504,10.945,12.554,10.068,12.451,12.09,13.904,11.032,12.794,13.728,14.587,15.345,16.106,16.77,18.034237,17.430383,17.291504,18.310888,18.270413,17.97921,18.474843,18.790097,18.1830881,19.000475,18.609971,19.633793
South Sudan,distribution losses ,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,0.027,0.028,0.027,0.023,0.023742,0.022006,0.022374,0.022418,0.02241623
Spain,distribution losses ,Europe,9.966,8.92,10.568,10.513,11.071,11.838,11.975,12.164,13.499,12.396,14.036,14.539,14.844,14.848,15.155,15.959,15.597,14.098,18.448,19.478,19.266,17.981,19.247,22.527,24.07,25.96,25.125,25.481,25.81,24.445,27.4,26.027,25.675,26.694,26.393,26.509,26.72,23.823,25.596,24.79,25.631,26.3089219
Sri Lanka,distribution losses ,Asia & Oceania,0.243,0.337,0.363,0.303,0.375,0.391,0.409,0.422,0.416,0.491,0.526,0.612,0.594,0.707,0.774,0.866,0.774,0.9,1.057,1.275,1.468,1.281,1.309,1.444,1.365,1.504,1.561,1.561,1.484,1.431,1.487,1.415,1.192,1.201,1.426,0.925,0.997,0.82729,1.40746,1.371987,1.496441,1.496441
Sudan,distribution losses ,Africa,0.115,0.169,0.184,0.136,0.032,0.174,0.14,0.137,0.259,0.29,0.233,0.397,0.339,0.416,0.514,0.503,0.651,0.791,0.612,0.37,0.315,0.879,0.746,0.809,0.95,0.784,1.045,1.177,1.207,1.423,1.448,1.737,1.794,2.365,2.502,2.87,3.03,3.14,3.0277,3.250027,3.2,3.353928571
Suriname,distribution losses ,Central & South America,0.078,0.07,0.073,0.074,0.067,0.056,0.062,0.048,0.065,0.092,0.091,0.118,0.119,0.12,0.12,0.12,0.117,0.119,0.118,0.12,0.105,0.111,0.121,0.12,0.127,0.137,0.138,0.14,0.1551,0.1566,0.147,0.17558,0.17752,0.1966,0.1896,0.241713889,0.2166,0.21685,0.42615,0.45242,0.45,0.45
Sweden,distribution losses ,Europe,8.279,8.196,8.149,9.306,10.076,10.79,9.63,10.167,9.518,9.441,9.208,8.802,9.569,10.026,9.052,10.072,10.345,10.216,10.747,10.338,10.815,11.805,11.885,10.667,10.945,11.708,10.864,10.657,10.987,9.911,10.561,10.597,10.96,10.003,7.335,6.988,8.569,9.495,10.537,10.842,8.634,8.942
Switzerland,distribution losses ,Europe,3.198,3.214,3.195,3.257,3.348,3.444,3.485,3.551,3.571,3.268,3.678,3.731,3.839,3.873,3.537,3.669,4.011,4.101,4.309,3.981,4.087,4.196,4.165,4.189,4.244,4.229,4.193,4.222,4.284,4.188,4.372,4.481,4.576,4.664,4.674,4.54,4.456,4.558714,4.228349,4.148986,4.271825,4.4666944
Syria,distribution losses ,Middle East,0.709,0.826,0.919,1.011,1.107,1.175,1.138,1.15,2.254,2.276,3.038,3.201,3.3,3.315,4.699,4.679,5.163,5.639,6.21,6.596,7.741,7.528,6.938,6.745,6.613,6.767,7.19,8.428,8.766,9.248,9.852,8.879,6.895,5.264,4.51,3.79,3.865,3.795708,3.795265,3.700786,3.7,3.7
Taiwan,distribution losses ,Asia & Oceania,2.786,2.62,2.655,3.098,3.193,2.873,2.937,3.702,3.885,4.812,5.355,5.756,5.919,5.915,6.435,7.079,7.656,6.896,8.8,8.407,8.256676103,8.105765108,8.804949988,8.751094501,8.937121304,9.036052929,9.538676815,9.5901492,8.584159808,9.413301868,9.663413035,10.14864481,9.360338775,7.25093101,8.959804289,8.146752483,8.684563973,8.827302428,9.200442651,8.984018681,9.482015958,8.815791461
Tajikistan,distribution losses ,Eurasia,,,,,,,,,,,,,1.2,2.196,2.155,1.619,1.761,1.951,2.093,2.219,2.143,2.189,2.331,2.527,2.455,2.746,2.745,2.954,2.985,2.099,2.33,2.271,2.445,2.528,2.804,2.67,2.746,2.884,2.878,2.429,2.549,2.621133333
Tanzania,distribution losses ,Africa,0.108,0.1,0.123,0.157,0.195,0.228,0.237,0.326,0.317,0.358,0.325,0.394,0.375,0.448,0.346,0.25,0.163,0.128,0.237,0.569,0.547,0.675,0.464,0.232,0.4,0.544,0.924,0.917,0.827,1.686,1.046,1.159,1.048,1.14,1.135,1.12,1.119,1.138,0.94656,1.04914,1.11,1.09098
Thailand,distribution losses ,Asia & Oceania,1.418,1.647,1.646,2.019,2.256,2.66,2.411,2.965,3.314,3.729,4.666,5.407,5.891,5.168,6.867,6.505,7.575,8.067,7.823,7.492,7.59,9.423,7.916,8.552,9.981,10.715,11.18,9.268,8.954,8.776,10.121,10.833,9.502,10.34,10.545,11.782,12.225,11.92,12.904,13.286,12.973,12.973
The Bahamas,distribution losses ,Central & South America,0.05593,0.04998,0.05334,0.05733,0.05698,0.05922,0.05957,0.05971,0.05985,0.0609,0.06251,0.07469,0.07665,0.08008,0.08407,0.08253,0.08491,0.08974,0.09751,0.10248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15015469,0.14724451,0.15,0.148748208
Timor-Leste,distribution losses ,Asia & Oceania,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.014,0.014,0.014,0.018,0.022,0.026,0.028,0.028,0.026,0.06,0.07,0.075,0.08,0.085,0.09,0.103,0.1,0.106142857
Togo,distribution losses ,Africa,0.016,0.018,0.02,0.019,0.022,0.023,0.024,0.026,0.027,0.03,0.033,0.041,0.029,0.03,0.039,0.032,0.032,0.031,0.03,0.019,0.036,0.0823,0.0774,0.0876,0.087,0.102,0.1012,0.1207,0.1335,0.1381,0.1616,0.1626,0.1642,0.1831,0.1856,0.1838,0.1884,0.121,0.197,0.209503,0.2,0.2
Tonga,distribution losses ,Asia & Oceania,0.00063,0.00084,0.00084,0.00084,0.00084,0.00084,0.00084,0.00112,0.0014,0.00147,0.00161,0.00168,0.00175,0.00175,0.00189,0.00196,0.00224,0.00238,0.00245,0.00231,0.005,0.004,0.004,0.004,0.004,0.008,0.008,0.008,0.008,0.00812,0.00722,0.00659,0.00566,0.004925,0.004743,0.00486,0.004923,0.0057,0.0057,0.0059,0.0059,0.0059
Trinidad and Tobago,distribution losses ,Central & South America,0.244,0.21,0.152,0.326,0.36,0.407,0.337,0.373,0.328,0.372,0.299,0.463,0.454,0.315,0.458,0.415,0.45,0.401,0.418,0.428,0.399,0.428,0.428,0.312,0.368,0.389,0.274,0.254,0.224,0.291,0.265,0.243,0.239,0.234,0.245,0.248,0.253,0.274864,0.425807,0.424101,0.422757,0.422757
Tunisia,distribution losses ,Africa,0.357,0.397,0.407,0.457,0.517,0.547,0.53,0.518,0.565,0.573,0.601,0.625,0.649,0.691,0.714,0.759,0.798,0.877,0.963,1.04,1.117,1.262,1.258,1.389,1.543,1.707,1.769,1.87,1.974,1.882,1.874,2.255,2.737,2.707,2.842,3.166,3.052,3.507,3.584,3.641,3.725,3.864714286
Turkiye,distribution losses ,Europe,2.824,2.931,3.317,3.422,3.74,3.945,5.447,5.518,6.308,6.247,6.681,7.561,8.995,10.252,11.842,13.769,15.854,18.582,20.795,21.545,23.756,23.329,23.932,24.052,23.243,24.044,24.81,26.647,27.481,28.991,30.222,32.369,35.657,37.133999,37.331001,36.528,35.61103,34.659467,31.6349909,31.285468,29.367801,30.990369
Turkmenistan,distribution losses ,Eurasia,,,,,,,,,,,,,1.095,1.177,0.978,1.206,1.131,0.935,1.257,1.156,1.401,1.491,1.499,1.468,1.627,1.772,1.821,1.948,2.073,2.091,2.129,2.187,2.232,2.382,2.544,2.892,2.892,2.892,2.892,2.892,2.892,2.9685
Turks and Caicos Islands,distribution losses ,Central & South America,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.0007,0.00133,0.00161,0.00182,0.0021,0.00238,0.00259,0.00252,0.00336,0.0035,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0125,0.0125,0.0125,0.01277172
Tuvalu,distribution losses ,Asia & Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,distribution losses ,Asia & Oceania,0.00917,0.00952,0.00952,0.00973,0.0098,0.01085,0.01113,0.01106,0.01176,0.01316,0.01337,0.01351,0.01085,0.0112,0.01148,0.01169,0.01183,0.01176,0.01197,0.02268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03563,0.03563,0.03563
U.S. Territories,distribution losses ,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Virgin Islands,distribution losses ,Central & South America,0.05243,0.05537,0.05607,0.05761,0.05789,0.05922,0.06055,0.06335,0.06384,0.06251,0.06447,0.0658,0.06713,0.06846,0.06958,0.07049,0.07077,0.07105,0.07133,0.0714,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.07,0.07,0.068,0.069,0.07,0.063,0.06,0.06,0.06,0.065,0.065,0.05,0.051,0.051,0.051
Uganda,distribution losses ,Africa,0.04438,0.0364,0.03941,0.03619,0.04312,0.04424,0.04508,0.04298,0.04095,0.04774,0.05362,0.054271,0.068761,0.067704,0.070455,0.073143,0.078232,0.08757,0.08862,0.08848,0.623,0.621,0.67,0.703,0.749,0.763,0.639,0.794,0.907,0.876,0.962,0.849,0.919,0.947,0.981,0.822,0.913,1.05165,1.02892,1.15727,1.126898,1.126898
Ukraine,distribution losses ,Eurasia,,,,,,,,,,,,,22.487,22.084,21.446,18.555,24.715,28.161,29.767,29.984,30.964,34.059,33.492,32.079,27.312,24.797,23.888,22.952,22.363,20.692,21.695,21.261,21.421,20.714,19.615,17.442,16.626,16.787,16.9958,16.4341,15.44535,14.84230357
United Arab Emirates,distribution losses ,Middle East,0.441,0.506,0.625,0.71,0.77,0.839,0.897,0.956,1.039,1.405,1.537,1.561,1.682,1.956,2.136,2.273,2.418,1.885,1.793,0.884,1.351,3.098,3.362,3.548,3.761,3.757,4.132,4.875,4.98,5.304,5.815,6.136,6.574,6.807,7.212,7.883,8.022,8.219,7.909,7.011,7.0,6.989
United Kingdom,distribution losses ,Europe,21.534,20.123,20.479,21.206,23.055,24.603,25.065,26.692,23.754,24.982,25.029,26.22,23.786,22.828,32.041,26.851,29.335,27.138,29.818,29.862,31.143,32.077,30.963,32.07,33.175,27.901,27.515,27.83,28.103,28.148,26.883999,27.990001,28.293999,26.550001,27.448,28.607,26.330475,26.834961,25.651,25.4496109,26.322746,25.867
United States,distribution losses ,North America,216.0770806,184.107914,187.2470164,197.8214127,173.3299389,189.9587824,157.615058,164.3521802,161.1185471,222.486777,203.0555426,207.3651174,212.0955327,224.3075139,211.4574852,228.755098,230.6171225,224.3801505,221.055744,240.0864186,243.5111602,201.563884,247.7853351,227.5760394,265.9179766,269.217052,266.2767508,297.7659375,286.0476778,260.6504462,264.2852883,254.791868,262.7203839,255.5101531,243.5020226,245.2244445,241.7777182,227.4416463,222.3548204,215.1975074,200.7092115,224.61038
Uruguay,distribution losses ,Central & South America,0.55,0.426,0.627,0.662,0.78,0.702,0.911,1.063,1.034,0.843,1.036,1.015,1.205,1.114,1.199,1.173,1.322,1.34,1.464,1.347,1.406,1.478,1.607,1.792,1.807,1.792,1.065,1.18,1.077,1.136,1.212,1.287,1.292,1.282,1.253,1.49,1.608,1.694491,1.557257,1.322331,1.129273,1.129273
Uzbekistan,distribution losses ,Eurasia,,,,,,,,,,,,,4.77,4.458,4.336,4.143,4.061,4.008,4.152,4.11,4.335,7.359,8.109,8.591,9.105,8.052,6.625,6.559,7.399,7.668,8.983,8.813,8.668,9.172,9.195,9.018,9.102,9.831,3.746,3.858,3.89,3.893387679
Vanuatu,distribution losses ,Asia & Oceania,0.00133,0.0014,0.00147,0.00161,0.00168,0.00175,0.00175,0.00168,0.00168,0.00168,0.00168,0.00175,0.00189,0.00189,0.00189,0.00196,0.0021,0.00231,0.00245,0.00245,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.0026,0.00343,0.00343,0.00345,0.005412,0.004925,0.004678,0.005644,0.004974,0.00532,0.0052,0.00623,0.0057,0.0057,0.0057
Venezuela,distribution losses ,Central & South America,5.145,3.597,6.113,6.623,5.386,6.818,8.605,9.462,9.373,9.764,10.678,12.101,12.154,12.685,13.975,15.294,15.754,16.397,17.847,18.813,20.69,22.746,22.746,23.441,26.23,28.503,29.341,31.409,32.461,32.564,22.88,24.133,25.113,25.627,42.699,40.381,33.543,32.237348,30.982821,25.637959,23.099784,23.04704156
Vietnam,distribution losses ,Asia & Oceania,0.629,0.678,0.714,0.726,0.912,0.928,1.104,1.102,1.27,1.685,2.205,2.351,2.486,2.56,2.764,3.179,3.264,3.482,3.49,3.539,3.657,4.243,5.012,5.272,6.01,6.258,6.863,7.445,7.401,7.985,9.597,9.937,10.715,11.502,12.877,12.934,13.648,14.123,15.403,15.479,15.687,16.31728571
Wake Island,distribution losses ,Asia & Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Sahara,distribution losses ,Africa,0.00504,0.00504,0.00511,0.00511,0.00511,0.00497,0.00518,0.00532,0.00539,0.00546,0.0056,0.0056,0.0056,0.0056,0.0056,0.00574,0.00574,0.00574,0.00574,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yemen,distribution losses ,Middle East,0.0,0.034,0.04,0.059,0.08,0.072,0.145,0.124,0.133,0.133,0.192,0.33,0.417,0.488,0.409,0.513,0.548,0.664,0.71,0.897,0.948,1.03,0.934,0.978,0.977,1.075,1.376,1.532,1.508,1.639,1.854,1.59,2.33,2.19,1.924,1.423,1.164,0.958761,0.731799,0.674994,0.589554,0.589554
Zambia,distribution losses ,Africa,0.643,0.549,0.649,0.607,0.547,0.535,0.489,0.371,0.256,0.205,0.259,0.338,0.252,0.261,0.28,0.224,0.138,0.164,0.17,0.225,0.247,0.275,0.304,0.332,0.334,0.448,0.564,1.197,2.127,1.802,1.848,2.73,0.945,1.139,2.162,1.276,1.903,1.622298,1.672846,1.610374267,2.099272,2.195103459
Zimbabwe,distribution losses ,Africa,0.427,0.439,0.45,0.429,0.444,0.472,0.493,0.508,0.524,0.431,0.666,0.924,1.683,0.504,0.787,0.738,0.465,0.807,1.212,1.408,1.422,1.574,2.097,1.444,1.473,1.58,1.274,1.219,0.967,1.234,1.693,1.611,1.765,1.702,1.648,1.653,1.596,1.728908,1.747814,1.552412,1.444983,1.444983
Afghanistan,exports ,Asia & Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,exports ,Europe,0.5,0.525,0.55,0.575,0.6,0.583,0.63,0.8,0.735,0.631,0.118,1.298,0.56,0.141,0.155,0.074,0.38,0.839,0.69,0.755,0.222,0.069,0.058,0.326,0.0,0.0,0.0,0.0,0.0,0.487,2.935,0.0,0.0,0.0,0.183,0.956,0.042,0.0,1.764,0.77048,0.963,2.8
Algeria,exports ,Africa,0.061,0.086,0.116,0.127,0.096,0.158,0.162,0.17,0.182,0.26,0.303,0.796,1.061,1.324,1.191,0.491,0.422,0.313,0.262,0.21,0.319,0.196,0.259,0.212,0.197,0.275,0.3,0.273,0.323,0.362,0.803,0.799,0.985,0.384,0.877,0.641,0.507,0.88,0.597,0.673,0.574,0.598533333
American Samoa,exports ,Asia & Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,exports ,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antarctica,exports ,Central & South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,exports ,Central & South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,exports ,Central & South America,0.002,0.003,0.006,0.006,0.005,0.006,0.006,0.007,0.007,0.007,0.054,0.01,0.01,0.023,0.011,0.22,0.3,0.277,0.0,1.08,6.023,5.662,2.856,2.543,4.144,4.14,5.06,2.676,2.975,2.445,1.701,1.263,0.506,0.247,0.166,0.055,0.329,0.069,0.28,0.261,3.089,3.851
Armenia,exports ,Eurasia,,,,,,,,,,,,,0.052,0.131,0.0,0.0,0.0,0.124,0.387,0.704,0.815,0.701,0.66,0.583,1.012,1.1511,0.7545,0.4513,0.36,0.336,1.061,1.383,1.696,1.313,1.314,1.424,1.229,1.44,1.627,1.251,1.333,0.995
Aruba,exports ,Central & South America,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,exports ,Asia & Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,exports ,Europe,7.136,7.441,7.464,7.893,6.725,7.77,7.426,9.606,8.283,8.246,7.298,7.738,8.621,8.806,9.0,9.76,8.476,9.775,10.467,13.507,15.192,14.252,14.676,13.389,13.548,17.732,14.407,15.511,14.934,18.762,17.472074,16.777354,20.626749,17.689115,17.436999,19.327645,19.206889,22.816512,19.1293309,22.9182641,22.3266802,18.8930365
Azerbaijan,exports ,Eurasia,,,,,,,,,,,,,1.396,0.25,0.25,0.5,0.58,0.284,1.002,0.886,0.378,0.966,0.925,0.871,1.008,0.88,0.879,0.786,0.812,0.38,0.462,0.805,0.68,0.495,0.489,0.265,1.096,1.283,1.445,1.491,1.151,1.673
Bahrain,exports ,Middle East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.019,0.107,0.19,0.053,0.237,0.213,0.293,0.513,0.447,0.447,0.447,0.447
Bangladesh,exports ,Asia & Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,exports ,Central & South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,exports ,Eurasia,,,,,,,,,,,,,3.405,3.605,3.85,2.907,2.601,2.688,2.073,3.029,2.764,2.718,3.513,3.987,4.723,5.055,5.789,5.062,5.245,3.933,5.067,3.704,2.797,3.012,4.488,3.482,3.298,3.407,4.248,5.398,4.777,4.572931835
